2025-06-13 01:19:19,040 INFO System Monitor: Starting system monitoring...
2025-06-13 01:19:19,050 INFO CPU: Usage: 25.0%
2025-06-13 01:19:19,051 INFO Memory: Usage: 83.7%
2025-06-13 01:19:20,007 INFO Software: PID: 3292, Name: svchost.exe, Username: None
2025-06-13 01:19:20,030 INFO Software: PID: 3300, Name: svchost.exe, Username: None
2025-06-13 01:19:20,032 INFO Software: PID: 3316, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,048 INFO Software: PID: 3392, Name: svchost.exe, Username: None
2025-06-13 01:19:20,066 INFO Software: PID: 3400, Name: svchost.exe, Username: None
2025-06-13 01:19:20,067 INFO Software: PID: 3436, Name: ShellExperienceHost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,090 INFO Software: PID: 3492, Name: svchost.exe, Username: None
2025-06-13 01:19:20,107 INFO Software: PID: 3532, Name: svchost.exe, Username: None
2025-06-13 01:19:20,108 INFO Software: PID: 3540, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,108 INFO Software: PID: 3584, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,136 INFO Software: PID: 3692, Name: svchost.exe, Username: None
2025-06-13 01:19:20,173 INFO Software: PID: 3696, Name: svchost.exe, Username: None
2025-06-13 01:19:20,204 INFO Software: PID: 3768, Name: svchost.exe, Username: None
2025-06-13 01:19:20,237 INFO Software: PID: 3840, Name: svchost.exe, Username: None
2025-06-13 01:19:20,238 INFO Software: PID: 3860, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,239 INFO Software: PID: 3864, Name: Canva.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,239 INFO Software: PID: 3904, Name: audiodg.exe, Username: None
2025-06-13 01:19:20,255 INFO Software: PID: 3940, Name: svchost.exe, Username: None
2025-06-13 01:19:20,283 INFO Software: PID: 4000, Name: svchost.exe, Username: None
2025-06-13 01:19:20,306 INFO Software: PID: 4132, Name: spoolsv.exe, Username: None
2025-06-13 01:19:20,323 INFO Software: PID: 4168, Name: svchost.exe, Username: None
2025-06-13 01:19:20,337 INFO Software: PID: 4180, Name: svchost.exe, Username: None
2025-06-13 01:19:20,338 INFO Software: PID: 4232, Name: RuntimeBroker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,356 INFO Software: PID: 4236, Name: MsMpEng.exe, Username: None
2025-06-13 01:19:20,378 INFO Software: PID: 4240, Name: svchost.exe, Username: None
2025-06-13 01:19:20,392 INFO Software: PID: 4264, Name: svchost.exe, Username: None
2025-06-13 01:19:20,409 INFO Software: PID: 4276, Name: svchost.exe, Username: None
2025-06-13 01:19:20,427 INFO Software: PID: 4404, Name: svchost.exe, Username: None
2025-06-13 01:19:20,428 INFO Software: PID: 4428, Name: Discord.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,430 INFO Software: PID: 4480, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,448 INFO Software: PID: 4484, Name: svchost.exe, Username: None
2025-06-13 01:19:20,466 INFO Software: PID: 4496, Name: ACCSvc.exe, Username: None
2025-06-13 01:19:20,483 INFO Software: PID: 4504, Name: svchost.exe, Username: None
2025-06-13 01:19:20,500 INFO Software: PID: 4512, Name: svchost.exe, Username: None
2025-06-13 01:19:20,517 INFO Software: PID: 4524, Name: warp-svc.exe, Username: None
2025-06-13 01:19:20,539 INFO Software: PID: 4536, Name: mDNSResponder.exe, Username: None
2025-06-13 01:19:20,553 INFO Software: PID: 4544, Name: svchost.exe, Username: None
2025-06-13 01:19:20,569 INFO Software: PID: 4560, Name: svchost.exe, Username: None
2025-06-13 01:19:20,584 INFO Software: PID: 4596, Name: FoxitPDFReaderUpdateService.exe, Username: None
2025-06-13 01:19:20,602 INFO Software: PID: 4656, Name: svchost.exe, Username: None
2025-06-13 01:19:20,616 INFO Software: PID: 4660, Name: OfficeClickToRun.exe, Username: None
2025-06-13 01:19:20,637 INFO Software: PID: 4688, Name: MpDefenderCoreService.exe, Username: None
2025-06-13 01:19:20,654 INFO Software: PID: 4696, Name: IgoAudioService_x64.exe, Username: None
2025-06-13 01:19:20,673 INFO Software: PID: 4716, Name: svchost.exe, Username: None
2025-06-13 01:19:20,690 INFO Software: PID: 4724, Name: mongod.exe, Username: None
2025-06-13 01:19:20,707 INFO Software: PID: 4768, Name: svchost.exe, Username: None
2025-06-13 01:19:20,726 INFO Software: PID: 4780, Name: mysqld.exe, Username: None
2025-06-13 01:19:20,742 INFO Software: PID: 4836, Name: svchost.exe, Username: None
2025-06-13 01:19:20,757 INFO Software: PID: 4856, Name: SMSvcHost.exe, Username: None
2025-06-13 01:19:20,758 INFO Software: PID: 4864, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,776 INFO Software: PID: 4932, Name: RtkAudUService64.exe, Username: None
2025-06-13 01:19:20,797 INFO Software: PID: 4952, Name: wlanext.exe, Username: None
2025-06-13 01:19:20,814 INFO Software: PID: 4996, Name: nvcontainer.exe, Username: None
2025-06-13 01:19:20,830 INFO Software: PID: 5048, Name: sqlwriter.exe, Username: None
2025-06-13 01:19:20,845 INFO Software: PID: 5088, Name: UltraViewer_Service.exe, Username: None
2025-06-13 01:19:20,863 INFO Software: PID: 5096, Name: svchost.exe, Username: None
2025-06-13 01:19:20,878 INFO Software: PID: 5104, Name: svchost.exe, Username: None
2025-06-13 01:19:20,895 INFO Software: PID: 5112, Name: svchost.exe, Username: None
2025-06-13 01:19:20,914 INFO Software: PID: 5240, Name: svchost.exe, Username: None
2025-06-13 01:19:20,915 INFO Software: PID: 5272, Name: CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,934 INFO Software: PID: 5332, Name: SMSvcHost.exe, Username: None
2025-06-13 01:19:20,955 INFO Software: PID: 5396, Name: wslservice.exe, Username: None
2025-06-13 01:19:20,955 INFO Software: PID: 5596, Name: Discord.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,973 INFO Software: PID: 5780, Name: NVDisplay.Container.exe, Username: None
2025-06-13 01:19:20,974 INFO Software: PID: 6036, Name: python.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:20,994 INFO Software: PID: 6040, Name: mysqld.exe, Username: None
2025-06-13 01:19:20,995 INFO Software: PID: 6088, Name: ZaloCall.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,018 INFO Software: PID: 6208, Name: conhost.exe, Username: None
2025-06-13 01:19:21,037 INFO Software: PID: 6520, Name: svchost.exe, Username: None
2025-06-13 01:19:21,037 INFO Software: PID: 6684, Name: RuntimeBroker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,038 INFO Software: PID: 6852, Name: chrome.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,056 INFO Software: PID: 6920, Name: QASvc.exe, Username: None
2025-06-13 01:19:21,073 INFO Software: PID: 6976, Name: CamUsage.exe, Username: None
2025-06-13 01:19:21,088 INFO Software: PID: 7116, Name: WmiPrvSE.exe, Username: None
2025-06-13 01:19:21,106 INFO Software: PID: 7180, Name: iGoSwServer.exe, Username: None
2025-06-13 01:19:21,124 INFO Software: PID: 7384, Name: rundll32.exe, Username: None
2025-06-13 01:19:21,125 INFO Software: PID: 7700, Name: sihost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,143 INFO Software: PID: 7720, Name: svchost.exe, Username: None
2025-06-13 01:19:21,143 INFO Software: PID: 7732, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,145 INFO Software: PID: 7740, Name: UserOOBEBroker.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,146 INFO Software: PID: 7792, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,160 INFO Software: PID: 7800, Name: svchost.exe, Username: None
2025-06-13 01:19:21,162 INFO Software: PID: 7804, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,180 INFO Software: PID: 7848, Name: AggregatorHost.exe, Username: None
2025-06-13 01:19:21,182 INFO Software: PID: 7868, Name: svchost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,183 INFO Software: PID: 7956, Name: taskhostw.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,184 INFO Software: PID: 8092, Name: Zalo.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,201 INFO Software: PID: 8108, Name: svchost.exe, Username: None
2025-06-13 01:19:21,203 INFO Software: PID: 8204, Name: RadeonSoftware.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,204 INFO Software: PID: 8240, Name: AppMonitorPlugIn.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,205 INFO Software: PID: 8412, Name: nvcontainer.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,205 INFO Software: PID: 8468, Name: explorer.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,232 INFO Software: PID: 8656, Name: svchost.exe, Username: None
2025-06-13 01:19:21,247 INFO Software: PID: 8676, Name: svchost.exe, Username: None
2025-06-13 01:19:21,248 INFO Software: PID: 8696, Name: Discord.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,267 INFO Software: PID: 8868, Name: svchost.exe, Username: None
2025-06-13 01:19:21,268 INFO Software: PID: 9000, Name: NVIDIA Web Helper.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,286 INFO Software: PID: 9092, Name: svchost.exe, Username: None
2025-06-13 01:19:21,287 INFO Software: PID: 9200, Name: Code.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,306 INFO Software: PID: 9276, Name: QAAdminAgent.exe, Username: None
2025-06-13 01:19:21,307 INFO Software: PID: 9384, Name: QAAgent.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,308 INFO Software: PID: 9460, Name: conhost.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,323 INFO Software: PID: 9500, Name: svchost.exe, Username: None
2025-06-13 01:19:21,336 INFO Software: PID: 9652, Name: svchost.exe, Username: None
2025-06-13 01:19:21,337 INFO Software: PID: 9660, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,338 INFO Software: PID: 9736, Name: ACCStd.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,361 INFO Software: PID: 9748, Name: NgcIso.exe, Username: None
2025-06-13 01:19:21,362 INFO Software: PID: 9820, Name: RtkUWP.exe, Username: LAPTOP-6IDCVRKE\Admin
2025-06-13 01:19:21,362 INFO Software: PID: 9944, Name: opera.exe, Username: LAPTOP-6IDCVRKE\Admin
